                0                 1                 2                 3                 4
             test      hypothesized              also          position        thoroughly
           higher                rt       intensified        individual            effect
               pr         detection     nonfunctional          multiple        inhibition
             used          multiple              used        contribute    characteristic
        treatment         currently            impact      polymorphism      polymorphism
           higher         diagnosis        medication          training               aim
       individual            dental             rural          spectrum             range
          related        reciprocal           patient           concern             hilic
            birth          informed          mutation     sedimentation            survey
        validated        peripheral             seems              case            lavage
            human     mycobacterium               hdv           patient              well
              hbv       progression           pattern epidemiologically              site
      mononuclear          utilized           perform              tool             human
              may             solid      heterosexual         challenge            single
     transitional             blood         suggested       interleukin              tbas
             gene               aid         infection        lymphocyte       interaction
         evolving        undergoing            result         frequency             using
      restoration            method       interleukin           context         condition
       perception         knowledge            lavage              cell              view
   antiretroviral        increasing              ltrs             blood          moderate
             done          clinical      demonstrated             error            afford
      specificity          district               snp         immigrant          mutation
        treatment         worldwide             using           disease           patient
    demonstrating          required             rural               hiv             among
            viral         increased           patient              data          facility
          therapy         hepatitis           outcome            faecal         hepatitis
           proper         protozoan           changed        individual        impairment
          variant            course            method           therapy               pcr
           normal            cohort           patient         infection            sought
       represents               two        increasing           primary              role
      interleukin      investigated            dental             phase             found
       diarrhoeal             focus           country        polymerase             serum
     spectrometry             first               hcv               yet            lavage
            solid              host           whether               ten               ten
            human              care            injury         challenge cryptosporidiosis
      specificity               snp         knowledge     administrated      particularly
       correlated               hiv      tuberculosis      neurological                rt
 immunodeficiency                ir           reverse           develop          mutation
             jail              drug          delivery            region        diarrhoeal
            class           related        initiating             found        lymphocyte
             data           therapy        thoroughly         increased         evolution
    insufficiency             group        increasing           insulin           central
         northern              host     determination     transcriptase          analytes
            focus            column            factor       accelerates              cell
            paper            social        diarrhoeal              food             phone
        adherence              risk              cell            sought            occult
        pregnancy      thematically           illness      demonstrated                ir
          whether         adherence       preexisting               ide         cirrhosis
        diagnosis             serum         treatment              lack               ide
              use            afford    antiretroviral             prior       calibration
          patient             blood            lavage      investigated           general
        knowledge              care            gained          hindered               hcv
          develop      demonstrated              test              cell           patient
              snp          response               hbv            sample          modified
               pr                sp          genotype     concentration            faecal
     hypothesized              care      transitional           country       calibration
     complication              also      introduction              done             study
          subject               hdv         infection           remains           unclear
        incidence             liver       significant            europe              good
         sequence         genotypic         immigrant            sample              risk
          perform            formal             aging        homogenate          equipped
           region            column         infection              line        documented
           region              ctls               hiv               hbv           service
        increased            termed         regulates               new      transmission
        developed           perform           evolved            cohort              tbas
       frameshift          research               ltr     phospholipase               hdv
              low           medical              year                rt           feature
            study         intention         surrogate       disposition               hiv
            error           genetic         infection             three            sought
          concern             group               hdv          district                oh
              ass        resistance        especially       progression        especially
      immunologic       coinfection         diagnosed             world              test
       medication      tuberculosis            sector        impairment             italy
           linked            likely      investigated               ddi        management
            liver      simultaneous             count               new     mycobacterium
      coinfection             level       combination              case           america
              snp        contribute           patient           collect          activity
         observed             hbsag       accelerates       constituted              drug
              phc            method           service           america          recorded
       associated            number          advanced       constituted           feature
     transmission             study         adjusting               pcr            sector
      fingerprint               use             phone             aimed               drm
 immunodeficiency      hypothesized           nucleos           suggest         infection
             food          relative           contact            shiraz              full
         negative             study      epidemiology              thus           nucleos
         delivery        associated         infection         technique             south
epidemiologically          epidemic            deemed         separated         infection
           higher               sex              drug           outcome             among
           effect            within            useful         knowledge      demonstrated
          genomic        telomerase           changed               ltr              acid
             area  immunodeficiency              plan             first             viral
          applied         knowledge           nucleos      successfully          mutation
           impact           therapy       parasitosis          reaction               hiv
         sampling   transcriptional        inhibition           explore               men
           within               ddi    antiretroviral           concern               hbv
            alone              care           stained      neurological          genotype
            basal     nonfunctional           primary            likely      particularly
       prevalence       specificity            change   cryptosporidium           variant
          treated     retrospective        telomerase             study           control
         nigerian               hbv       participant      demonstrated              york
         decrease               hbv        peripheral         hepatitis           related
             cart       association         hepatitis             still           fitness
         reaction               via              drug        activation               use
         analyzed        homogenate              cold     retrospective          analyzed
           people              cell       preexisting       coinfection            apulia
         protease          pressure        initiating           therapy             woman
         compared           general          hindered          negative          zululand
       contribute             study           patient          clinical            evolve
              new          detected           adverse          negative               new
         colinear     questionnaire          analytes              play      polymorphism
              sex          terminal               hiv       restoration          increase
           dental              food        experience             group             blood
             cell               hdv        diarrhoeal          attitude              time
       prevalence             range               men             major             order
        amplified       considering              mass           compare              year
      investigate             range        prevalence          prenatal              food
             cell               ltc              also             virus          recorded
           clinic            orally            sought             seven               men
          stained        predicting        initiating           outcome           subject
         enrolled              west          observed             class         volunteer
        cirrhosis               use      transitional          resident             focus
       prediction          improves        undergoing           variant             group
       expression             still       association            unique           perform
        inhibitor              york             limit         criterion      transitional
       determined             haart           patient             liver     phospholipase
            first           primary       interleukin        medication               hdv
         delivery          explored       supervision           finding         suggested
       percentage               use           patient               new            people
       percentage        frameshift               new     mycobacterium         insertion
           reveal           therapy              view         exceeding           patient
            imply          practice          analyzed        nucleotide               ass
        synergism           reverse           remains          delivery            number
          control           problem                le               pcr           liguria
      utilization         increased         marseille       progression          severity
            staff              case         genotypic            repeat               low
         mutation         connected        neurologic        laboratory         frequency
    determination      epidemiology           surface           surface               snp
       acceptance             class            people             study           testing
            still      participated            health       independent         postnatal
       population           nucleos              site             nnrti         determine
           region                fg               ten            higher            normal
            blood         surrogate         incidence         detection      complication
       increasing               men          possible        individual        presenting
             stop        acceptance            normal      introduction       fingerprint
        adherence             north               hiv          resource          improves
        protozoan              care        prevalence     misconception               ltr
    transcriptase            condom         influence        resistance             liver
       containing           country epidemiologically             apart           concern
              may              ltcs           however             hbsag               ltr
    interquartile            cohort               new          decrease           remains
             used       intensified          protease        homogenate          reliable
     successfully             codon             liver          sampling     phospholipase
             role              test          increase            subset      transitional
            blood        containing       descriptive           general           primary
       alteration         protozoan        inhibition                oh       progression
       metabolite         concluded            portal   cryptosporidium            unique
        validated      epidemiology        laboratory            dental           support
           policy        insecurity          receptor           perform      tuberculosis
         improves               hbv         increased           context          isolated
      restoration              next            within              case              test
             ltrs       interaction      hypothesized        modulators            shiraz
        immigrant          attitude         amplified        prevalence               hdv
        treatment         hepatitis       calibration           therapy              data
            phase           patient           disease            likely           genetic
     electrospray               snp              food  immunodeficiency           routine
         manually              even         conducted      additionally              care
          explore             hbsag         cytotoxic           therapy       preexisting
      independent         relevance           outcome            naÃ¯ve       restoration
         compared          absolute              lack           variant          released
        cirrhosis        documented         cytotoxic        expression        regulating
             drug           patient               snp            clinic             phone
           linked       mononuclear               may      particularly        extraction
            natal         attendant     mycobacterium           england            method
           change            subset           october            subset             genus
            rural            normal          explored               new            apulia
           factor       integration               low               new        laboratory
            seems           control              care    antiretroviral       accelerates
           course          response    antiretroviral          dementia              care
           survey        increasing               ide               sex               hiv
    comprehensive           surface            orally            faecal              ltrs
              aim        laboratory            evolve               use            result
            south               men            unique         diarrhoea          pressure
   implementation         infection              good              full            median
            serum         drexelmed            mutant    characteristic           disease
            nnrti           america          required      neurological      transmission
              snp          absolute              care         hepatitis          colinear
              hiv       descriptive immunocompromised              risk             found
             stop           patient            change             north              year
              aid         suggested        reasonable    characteristic              good
              hiv           nucleos               art               ddi           whether
             jail             study           failure              drug         pregnancy
         response            change      complication            normal            repeat
              new           surface        prevalence          spectrum            unique
      investigate          informed       vaccination         diagnosis            linked
            group           genetic               hcv          attitude          clinical
           immune              tbas   cryptosporidium        acceptance          function
        incidence              gene               hiv     comprehensive              city
           europe       development         knowledge               ddi            normal
      accelerates             count      polymorphism        beneficial            sought
        sequenced   cryptosporidium           outcome           changed            dental
              use             south          increase       detrimental          december
          remains              rate             prior             count         diagnosis
           worked         treatment        especially      transmission           medical
              ltr        management              cell              plan              drug
          perform              care         knowledge       determinant               aid
            world       traditional              cell immunocompromised          presence
      progression         conducted        reciprocal               ass           dentist
       ionization               sex           patient        regulating       qualitative
             city           dentist     mycobacterium           reverse       accelerates
             ctls    characteristic         postnatal            people         hepatitis
           normal               new       demonstrate         criterion        documented
  cryptosporidium           protein              cell           finding            evolve
            aging              care              vary            reveal              city
       associated         diarrhoea          prepared           patient          enrolled
         question             haart         sequenced         infection                oh
             cart          explored      epidemiology        experience         intention
           sample            evolve          evolving         separated              case
            paper               ass            method           iranian        individual
           nested            highly             genus             study               ass
     longitudinal        respondent              tbas         incidence       detrimental
       disoproxyl             rural            reveal          explored             virus
     simultaneous          mutation               new              plan          prepared
          finding            result             hbsag              list               hiv
         sampling             human               use       qualitative               ide
          liguria         challenge     significantly       considering             found
       nucleotide             italy        initiating            social             hence
          routine              food          infected            within       interaction
       consequent            impact           variant           contact              food
             test             blood        individual          specific cryptosporidiosis
           occult              pill               dna              done        prevalence
              hbv              four         frequency       significant              test
          atlanta         cytotoxic          facility               men           symptom
     epidemiology       participant     comprehensive        individual     phospholipase
            among           patient           stained         influence            status
          compare        individual           however            impact     transcriptase
        hepatitis           disease     phospholipase        laboratory        acceptable
    misconception        resistance             range             aging              year
     participated            survey            effect            region         challenge
          disease            people        laboratory           complex       preexisting
    questionnaire         incidence              site            reveal              time
            cause            normal          attitude            dental         connected
    administrated          response             italy            sought        prevalence
              hiv             liver               new      demonstrated            injury
      preexisting            survey       determinant              case            people
             four       vaccination        regulating       qualitative     mycobacterium
     transitional            social              care          nigerian         criterion
            liver       independent              full        increasing        individual
     thematically               snp        contribute            dental        importance
       medication          training        initiating              drug          northern
