                0                 1                 2                 3                 4
          dentist          protease         condition          research      substitution
        selective         influence         mechanism         mechanism         precision
       specialist         knowledge              good          genotype              cell
          finding              risk            portal           patient             world
         prisoner        reciprocal            health       integration      demonstrated
              ddi                rt         amplified            useful      successfully
            group             among        contribute             count            sample
             test      particularly          attitude        laboratory            survey
             cell            result          resource            within       investigate
       nucleoside       demonstrate             first           reverse        assessment
           people       contracting          mutation            sought             study
              aim            region            worker             codon          function
              rna             nnrti         diarrhoea         knowledge              ltcs
        knowledge         evaluated            sought            factor     significantly
         pressure               hbv      complication         treatment            dental
             food            normal               hiv       synergistic              view
             lung     transcriptase           radical              risk       progression
         mutation               tat   cryptosporidium               snp            cohort
              use            factor            survey              food              food
        surrogate            factor              city           central          directly
          changed              risk            survey               may               era
       medication        modulators       transcribed        importance              lack
          routine             focus             still             total epidemiologically
         district        especially             chain   cryptosporidium              user
        regarding         infection       integration            sought           dentist
           choice      neurological        individual             error           current
       modulators          december               ltr        prevalence             study
           dental          practice  pharmacokinetics   cryptosporidium            apulia
         released              good         infection      transitional               hcv
     substitution         evaluated        acceptable           account          delivery
           normal               snp        population            sought              data
          develop              play          colinear        increasing         challenge
            human           variety          analyzed           haartin           finding
              via            result              tbas          district              plan
            amino        consequent              risk              test       instruction
       initiating         synergism       fingerprint      tuberculosis        lymphocyte
     transmission           disease           testing            status               pcr
epidemiologically          specific              area          response      simultaneous
            audio             among         ethiopian              pill               sex
          control             among                oh       interacting        expression
             care              ctls     interquartile              plan             world
           region            termed            marker          increase      longitudinal
            italy              case        prevalence      neurological           achieve
         delivery              york          genotype        modulators      polymorphism
     particularly             solid           limited              also           disease
           higher              mode           support           serious        medication
          nucleos             found          analysis      neurological        correlated
           higher             liver                tb         technique       demonstrate
              yet           reverse          negative               ten             study
       presenting        acceptance          absolute        represents          manually
              men        telomerase   cryptosporidium            likely             blood
       nucleoside            survey       determinant               hiv           explore
          therapy         abaqulusi               aid          activity         consisted
    comprehensive           remains          moreover           concern   cryptosporidium
             tbas              york        sequencing        prevalence       fingerprint
       documented           haartin           compare                pr     phospholipase
        hepatitis             theme             hence        represents          fumarate
        determine           service         regulates       coinfection         cytolytic
        criterion              cell              rate      organization        population
           change           patient             audio         potential         surrogate
    comprehensive        medication            detect            normal          protease
             west           reverse          pressure       fingerprint          response
    determination    distinguishing      hypothesized       intensified               hbv
              new               ddi         protozoan              play               hdv
         improves              site               hiv        represents             among
           native    characteristic               era             three              gene
          surface             first           control           pattern               two
       consequent         condition          absolute         diagnosis           concern
            stand       interleukin                tb           patient            higher
      accelerates      transmission         adherence            clinic            result
               tb            recent        activation           control          practice
            north              ltrs              ltcs          selected            native
             long            strain           however               hiv             hilic
           choice           surface             level            belief       utilization
          service             first              food        population            column
            study               men          mutation             swarm               pcr
       nucleotide              york          district            stigma           therapy
          perform          clinical            people            sample          prisoner
            group        contribute     comprehensive               ltr       replacement
            solid          syndrome              done            factor          increase
       polymerase         suggested          dementia          prisoner        disruptive
           effect       specificity                tb            defect        modulators
         position              view        addressing         hepatitis             apart
     polymorphism           disease          released          function       independent
          adverse             natal         influence        determined          increase
           social         cirrhosis              show            marker               ass
          pattern       supervision             south         treatment           disease
        insertion          syndrome             virus          protease      epidemiology
       modulators          mutation        acceptable           changed            normal
         utilized         precision              rate        beneficial               sex
            level           remains           studied               tat               hiv
              aim          negative              care              gene         increased
         epidemic         adjusting        prediction          resource        contribute
            stand            within      epidemiology             order         infection
          patient           general          nigerian             count            health
          country             aging          receptor           contact           medical
          genomic            gather             woman             serum         ethiopian
              ass        peripheral epidemiologically             world            choice
       determined        prevalence           adverse      spectrometry          negative
       insecurity              area       coinfection               ass   cryptosporidium
           method           patient           perform      epidemiology           predict
             ltcs        reciprocal          delivery             viral               via
          context          fumarate   cryptosporidium              cell        assessment
         modified        initiating           insulin         knowledge            access
           cohort            effect           patient       contracting       coinfection
        performed          explored        disoproxyl        prevalence             codon
           immune           outcome            access               ass              cell
          genetic        metabolite     comprehensive         determine          training
  transcriptional          absolute             group              rate           feature
       initiating         frequency       vaccination         relevance               may
          testing         molecular             stool         criterion          negative
epidemiologically epidemiologically            belief            method         protozoan
            solid           remains       coinfection               fgs                oh
           portal     comprehensive              cart           remains               ass
           sample           patient      epidemiology              cell            linked
          therapy             codon      demonstrated             stand        lymphocyte
       increasing              show           haartin       fingerprint         evaluated
         improves              cell             human      investigated             north
            found               phc            survey               aim            sexual
           worker         determine               tat         treatment        resistance
           higher              drug              line             basal           insulin
           region       interleukin           finding            shiraz            result
         infected         immigrant            proper              care      concentrated
          service          terminal       fingerprint             among      downmodulate
            seven          pressure        disoproxyl          delivery            factor
             care            policy   bronchoalveolar           patient           remains
      accelerates        expression             cause        especially      complication
         training         marseille            remain               hiv           pattern
       laboratory              drug          modified         condition          observed
          contact            mainly             order          epidemic            choice
      association           surface          fibrosis      substitution               ddi
       medication     transcriptase               new       association        undergoing
         mutation             range               hdv             swarm epidemiologically
            study         evolution               new         marseille         postnatal
      independent          reaction            sample             among            active
            virus           outcome         diagnosed            health        commercial
     complication               hiv             haart        prevalence         guatemala
             west                rt   cryptosporidium         selective           unclear
           people             count        researcher       considering        extraction
        evolution             count           patient               hiv          nigerian
           unique            people          negative      demonstrated              drms
          patient            detect       interleukin              vary              care
              ltr             study            effect        correlated         inhibitor
          unclear             first  immunodeficiency           outcome              nrti
        diagnosed         marseille               hiv          response             focus
      fingerprint         currently         conducted           explore                ir
          feature                tb          negative                tb     administrated
      participant          infected               ass             aging               ddi
     demonstrated              drug           outcome         immigrant            remain
            among               era              cart           predict        associated
              low        modulators           variant            social         synergism
            haart          protease              site              area               hiv
              hbv              city             class        laboratory          prisoner
               oh            sought            sector              cell               art
               ir             phase           perform          genotype        expression
           higher             cause             liver          protease             naïve
    mycobacterium           ability          required           pattern             blood
       thoroughly          zululand         determine          mutation              case
          patient    distinguishing          observed         guatemala          observed
           repeat         currently               hiv       utilization      participated
           recent        neurologic         hepatitis    characteristic           patient
            total         connected               ddi        diarrhoeal            impact
         clinical           failure         activated              care           however
           method            result              pill                tb         infection
              use         diagnosis           studied             group               use
    mycobacterium         treatment           disease         consisted               dna
               rt          released           routine               ctl             found
           marker       restoration            active           patient        presenting
         sequence            factor           complex         treatment               tdf
       perception            useful              case      complication           therapy
            among         postnatal         drexelmed         adherence           however
            swarm               era           collect           reverse       constituted
           remain         concluded             aging            sample             class
             case   cryptosporidium            policy          enrolled          previous
           median                oh          utilized            orally               new
          unclear          modified        reciprocal      polymorphism          position
             site             study           patient        especially          detected
             cell               aim               ass     phospholipase           predict
            would             three            europe            dental              cell
            using                ga           outcome           patient      transitional
          outcome       accelerated                tb          training     misconception
            serum          analytes     consecutively          sampling              tbas
          ability         increased         assistant          backbone      demonstrated
      recognition           iranian              nrti           concern          decrease
          unclear      transmission              thus           antigen          protease
      descriptive         ethiopian          explored        initiating          fibrosis
             case        inhibition        individual cryptosporidiosis       vaccination
         explored           subject       interaction       supervision               hcv
              iii            sexual           contact        individual            impact
        molecular         influence            normal            gather               via
              men               use         evaluated         detection            within
             plan           outcome             allow            faecal           control
          problem               art           service         infection           however
             view           outcome         condition        activation               hdv
           sexual               hbv            strain            faecal              care
             cell           patient           western             stool               hdv
       neurologic      respectively         adherence              iran           adverse
              may             virus     phospholipase          position             group
            study            sought             virus       preexisting   cryptosporidium
           highly             could           outcome           feature            factor
           nested        prevalence         inhibitor    antiretroviral              jail
              ltr               may               pcr    characteristic        specialist
      independent             focus           unclear          prenatal           compare
             used         guatemala            strain         incidence           antigen
        adherence             clone           liguria            defect          infected
         released             hbsag      simultaneous      epidemiology           control
         utilized            survey         concluded            impact              tbas
             rate    characteristic           limited          relation        initiating
         recorded       fingerprint         protozoan        individual            portal
        challenge        thoroughly             level             world              case
      descriptive       considering           nucleos         guatemala             phone
           within          received             group          colinear             theme
       determined                oh        population       combination           haartin
             food           concern         occurring           unclear              drug
             case             major             study          training              test
             cart              case          explored       coinfection            recent
         mutation           concern           concern             italy           insulin
         analytes        sequencing              plan             italy               hbv
             care        modulators        sequencing            portal               ass
             lead         detection           radical      participated            factor
             care              rate             study            normal             italy
       expression               era            within          addition        population
     concentrated          absolute            subset     interquartile        prediction
     demonstrated     comprehensive            faecal         encourage          acquired
        performed             alone         evaluated             found          spectrum
        regulates         knowledge              tbas         developed            sought
              aim              stop             blood        alteration       interacting
          poverty            median           serious               ctl           service
         addition             count          pressure          function              tbas
            blood      heterosexual           related          prepared        expression
          subject              tbas          position            method         treatment
            amino            occult      thematically            sought         mechanism
       insecurity             cause          multiple           feature      heterosexual
        adjusting               use           outcome       coinfection            active
          stained          contrast            sought             italy         incidence
      progression        population            termed              cell             level
   antiretroviral             woman                fg      complication               hbv
   implementation        telomerase          relative               hbv         knowledge
       medication               use              care           therapy         postnatal
            human            occult            recent     comprehensive         utilizing
              esi             focus             found           studied           patient
cryptosporidiosis           reverse          activity         inhibitor           iranian
        infection          presence               via             seven        laboratory
      development             italy      complication          directly            linked
           worked        resistance          negative       supervision       independent
             host           pattern            health         postnatal           compare
        detection           service             study        initiating          analysis
               tb            sample               hbv          infected             italy
      participant      thematically           variety            factor        increasing
            seven        increasing               use         infection               ide
           within          isolated         increased          analysis            europe
         contrast       intensified             blood           serious              plan
     participated             aging           already              four             alone
